FCODE$,FEMID$,SITE$,Age,FSVLAFTER
01/201,524,OR,.,63
1011/2,429,OR,.,63
0303,127,OR,.,63
01/302,533,OR,.,63
0305,536,OR,.,63
351/25,331,OR,.,63
02/32/30,600,OR,.,63
001/33,610,OR,.,63
4100,333,OR,.,63
02/304,614,OR,.,63
0001/4,615,OR,.,63
2001/4,623,OR,.,63
4015,231,OR,.,63
01/202/5,540,OR,.,63
002/31,528,OR,.,63
02/321,716,OR,.,63
001/35,526,OR,.,63
Feb-15,825,OR,.,63
002/31,528,OR,.,63
Feb-03,835,OR,.,63
02/321,716,OR,.,63
02/315,723,OR,.,63
03/51/44,311,OR,.,63
Feb-04,830,OR,.,63
2/5002/4,926,OR,.,63
Feb-02,920,OR,.,63
Feb-04,830,OR,.,63
Feb-05,725,OR,.,63
02/315,723,OR,.,63
Feb-12,917,OR,.,63
Feb-33,879,OR,.,63
2/4002/4,1043,OR,.,63
Feb-12,917,OR,.,63
Jan-03,1109,OR,.,63
001/44,1211,OR,.,63
3340,1135,OR,.,63
Jan-21,1013,OR,.,63
1003/4,1301,OR,.,63
1001/5,1304,OR,.,63
1002/4,1306,OR,.,63
Feb-03,816,OR,.,63
Feb-05,1329,OR,.,63
Apr-03,1516,OR,.,63
Apr-04,1521,OR,.,63
0103,20,OR,.,64
0125,36,OR,.,64
0203,46,OR,.,64
0140,58,OR,.,64
0202,61,OR,.,64
0210,62,OR,.,64
0230,63,OR,.,64
0520,70,OR,.,64
0151,89,OR,.,64
0012,91,OR,.,64
0555,105,OR,.,64
0542,106,OR,.,64
0553,108,OR,.,64
1155,118,OR,.,64
0451,119,OR,.,64
0315,123,OR,.,64
0423,128,OR,.,64
3003,133,OR,.,64
0534,140,OR,.,64
0stump000,148,OR,.,64
0532,149,OR,.,64
0401,154,OR,.,64
0342,155,OR,.,64
05/343,166,OR,.,64
XXXX,167,OR,.,64
1004,168,OR,.,64
0143,23,OR,.,64
0425,136,OR,.,64
4042,223,OR,.,64
0312,161,OR,.,64
0055,96,OR,.,64
1321,173,OR,.,64
0525,160,OR,.,64
0235,95,OR,.,64
03/51/32,315,OR,.,64
0323,112,OR,.,64
03/51/40,319,OR,.,64
0425,136,OR,.,64
1321,173,OR,.,64
0044,13,OR,.,64
0421,117,OR,.,64
4042,223,OR,.,64
0312,161,OR,.,64
0532,149,OR,.,64
0143,23,OR,.,64
01/51/30,328,OR,.,64
3441,241,OR,.,64
0303,127,OR,.,64
4104/5,416,OR,.,64
2401,250,OR,.,64
03/51/32,315,OR,.,64
0055,96,OR,.,64
0242,99,OR,.,64
53/404,318,OR,.,64
4300,322,OR,.,64
4104/5,416,OR,.,64
001/51,422,OR,.,64
01/240,230,OR,.,64
03/51/44,311,OR,.,64
001/21/3,425,OR,.,64
5200,1516,CP,.,64
1302,510,OR,.,64
0055,96,OR,.,64
01/211,627,OR,.,64
0242,99,OR,.,64
4015,231,OR,.,64
02/312,1724,CP,.,64
Feb-00,801,OR,.,64
Feb-02,803,OR,.,64
Feb-02,808,OR,.,64
Feb-02,701,OR,.,64
4300,322,OR,.,64
01/211,627,OR,.,64
Feb-00,801,OR,.,64
Feb-24,708,OR,.,64
4015,231,OR,.,64
Feb-02,924,OR,.,64
Feb-35,925,OR,.,64
Feb-33,879,OR,.,64
Feb-11,900,OR,.,64
Jan-02,1018,OR,.,64
Feb-03,835,OR,.,64
0143,23,OR,.,64
4300,322,OR,.,64
1/21/500,505,OR,.,64
02/315,717,OR,.,64
0401/2,729,OR,.,64
Feb-02,920,OR,.,64
Jan-10,1105,OR,.,64
0023/5,1016,OR,.,64
002/54,1040,OR,.,64
001/45,1214,OR,.,64
Jan-12,1014,OR,.,64
10(4)5,1317,OR,.,64
001/41,1216,OR,.,64
Jan-21,1013,OR,.,64
01/501,1409,OR,.,64
5203,1420,OR,.,64
1322/3,1426,OR,.,64
1012,1404,OR,.,64
2203/4,1502,OR,.,64
1114,1517,OR,.,64
0014,28,OR,.,65
0053,43,OR,.,65
0222,47,OR,.,65
0233,48,OR,.,65
0031,50,OR,.,65
0225,54,OR,.,65
02/3/405,59,OR,.,65
0552,104,OR,.,65
1002,71,OR,.,65
3250,109,OR,.,65
0551,115,OR,.,65
0531,122,OR,.,65
0103,20,OR,.,65
0105,14,OR,.,65
0151,89,OR,.,65
0331,129,OR,.,65
5005,130,OR,.,65
0521,143,OR,.,65
0230,63,OR,.,65
0413,159,OR,.,65
0232,86,OR,.,65
0012,91,OR,.,65
0524,170,OR,.,65
023/40,69,OR,.,65
0223/0225,172,OR,.,65
0302,182,OR,.,65
3423,212,OR,.,65
0235,95,OR,.,65
3410,232,OR,.,65
01/202/3,239,OR,.,65
0421,117,OR,.,65
1004,168,OR,.,65
0430,150,OR,.,65
0333,163,OR,.,65
0313,164,OR,.,65
3354,245,OR,.,65
0323,112,OR,.,65
3540,301,OR,.,65
3423,212,OR,.,65
3354,245,OR,.,65
3342,330,OR,.,65
3552,335,OR,.,65
3423,212,OR,.,65
5201/2,308,OR,.,65
3410,232,OR,.,65
3552,335,OR,.,65
4111,412,OR,.,65
0425,136,OR,.,65
0312,161,OR,.,65
1/21/500,505,OR,.,65
0143,23,OR,.,65
0525,160,OR,.,65
01/41/40,326,OR,.,65
1041/2,423,OR,.,65
0050,531,OR,.,65
0055,96,OR,.,65
0312,161,OR,.,65
0021/2,532,OR,.,65
01/401,534,OR,.,65
3441,241,OR,.,65
2401,250,OR,.,65
1004,168,OR,.,65
1101/2,436,OR,.,65
0021/2,532,OR,.,65
1/21/500,505,OR,.,65
0143,23,OR,.,65
2401,250,OR,.,65
02/501,707,OR,.,65
043/50,712,OR,.,65
0143,23,OR,.,65
2001/4,623,OR,.,65
01/211,627,OR,.,65
03/51/44,311,OR,.,65
53/403,202,OR,.,65
Feb-01,810,OR,.,65
001/24,608,OR,.,65
0514,142,OR,.,65
Feb-02,822,OR,.,65
51/504,409,OR,.,65
001/21/3,425,OR,.,65
0525,160,OR,.,65
1/21/500,505,OR,.,65
02/322,726,OR,.,65
Feb-03,1820,CP,.,65
02/315,717,OR,.,65
002/31,528,OR,.,65
Feb-12,706,OR,.,65
Feb-14,922,OR,.,65
Feb-03,835,OR,.,65
03/51/44,311,OR,.,65
0143,23,OR,.,65
01/211,627,OR,.,65
Feb-00,801,OR,.,65
002/31,528,OR,.,65
Feb-35,1006,OR,.,65
0012/5,1008,OR,.,65
Feb-12,706,OR,.,65
Feb-23,849,OR,.,65
Feb-35,1019,OR,.,65
1/51/300,204,OR,.,65
2401,250,OR,.,65
Feb-20,719,OR,.,65
Feb-15,825,OR,.,65
1/21/500,505,OR,.,65
0143,23,OR,.,65
1412/3,1201,OR,.,65
021/41,1213,OR,.,65
Jan-30,1133,OR,.,65
001/41,1216,OR,.,65
2/3/52/3/552/3,1226,OR,.,65
1342/3,519,OR,.,65
Feb-20,719,OR,.,65
02/315,717,OR,.,65
002/54,1040,OR,.,65
1/51/300,204,OR,.,65
01/300,1325,OR,.,65
001/45,1213,OR,.,65
2/3/52/3/552/3,1226,OR,.,65
001/41,1216,OR,.,65
1002/4,1306,OR,.,65
Feb-05,1329,OR,.,65
Jan-00,1326,OR,.,65
5202,1415,OR,.,65
1004,1318,OR,.,65
01/300,1325,OR,.,65
1235,1510,OR,.,65
5551,1511,OR,.,65
Apr-04,1513,OR,.,65
0554,121,OR,.,65.5
2350,26,OR,.,65.5
0214,37,OR,.,66
3140,41,OR,.,66
2120,79,OR,.,66
1230,87,OR,.,66
0355,113,OR,.,66
0114,10,OR,.,66
0514,142,OR,.,66
0445,144,OR,.,66
0441,145,OR,.,66
02/3/405,59,OR,.,66
5002,156,OR,.,66
0325,158,OR,.,66
2120,79,OR,.,66
1505,1154,CP,.,66
1501,1171,CP,.,66
0543,201,OR,.,66
53/403,202,OR,.,66
0103,20,OR,.,66
0542,106,OR,.,66
0340,147,OR,.,66
Jan-50,209,OR,.,66
3433,210,OR,.,66
5201/3,211,OR,.,66
0324,186,OR,.,66
1450,217,OR,.,66
3303,221,OR,.,66
0315,123,OR,.,66
3545,226,OR,.,66
01/240,230,OR,.,66
0314,185,OR,.,66
0423,128,OR,.,66
0355,113,OR,.,66
3412,238,OR,.,66
53/403,202,OR,.,66
0452,183,OR,.,66
01/202/3,239,OR,.,66
0331,129,OR,.,66
3450,321,OR,.,66
03/51/31,324,OR,.,66
01/333,163,OR,.,66
0230,63,OR,.,66
3003,133,OR,.,66
3545,226,OR,.,66
0151,89,OR,.,66
3441,249,OR,.,66
03/51/35,338,OR,.,66
Jan-01,339,OR,.,66
0324,186,OR,.,66
02/3/405,59,OR,.,66
0320,176,OR,.,66
0015,85,OR,.,66
3533,252,OR,.,66
0103,20,OR,.,66
0235,95,OR,.,66
4042,223,OR,.,66
132/51,173,OR,.,66
3354,245,OR,.,66
002/41,408,OR,.,66
3545,226,OR,.,66
0021/3,410,OR,.,66
01/333,163,OR,.,66
02/3/405,59,OR,.,66
3533,252,OR,.,66
0015,85,OR,.,66
0004,508,OR,.,66
4042,223,OR,.,66
53/403,202,OR,.,66
1021/2,420,OR,.,66
03/51/32,315,OR,.,66
01/333,163,OR,.,66
3354,245,OR,.,66
0320,176,OR,.,66
4300,424,OR,.,66
01/302 ,533,OR,.,66
 01/301,601,OR,.,66
001/24,608,OR,.,66
0235,95,OR,.,66
03/51/32,315,OR,.,66
53/403,202,OR,.,66
1/41/211/2,605,OR,.,66
0525,160,OR,.,66
0324,186,OR,.,66
001/21/3,425,OR,.,66
0514,142,OR,.,66
03/51/44,311,OR,.,66
0235,95,OR,.,66
0001/4,615,OR,.,66
001/24,608,OR,.,66
1302,510,OR,.,66
001/33,610,OR,.,66
001/21/3,425,OR,.,66
2401,250,OR,.,66
0525,160,OR,.,66
02/322,726,OR,.,66
0021/2,532,OR,.,66
01/240,230,OR,.,66
3235,846,OR,.,66
Feb-01,702,OR,.,66
Feb-00,907,OR,.,66
Feb-12,917,OR,.,66
Feb-02,808,OR,.,66
Feb-15,825,OR,.,66
001/21/3,425,OR,.,66
0011,1000,OR,.,66
Feb-01,702,OR,.,66
53/403,202,OR,.,66
1302,510,OR,.,66
Feb-02,808,OR,.,66
002/31,528,OR,.,66
Jan-02,1112,OR,.,66
Jan-01,1113,OR,.,66
02/315,723,OR,.,66
Feb-03,835,OR,.,66
4300,322,OR,.,66
1402/3,1200,OR,.,66
002/31,528,OR,.,66
Feb-35,1019,OR,.,66
02/315,723,OR,.,66
0401/2,729,OR,.,66
4300,322,OR,.,66
0302/3,1330,OR,.,66
5001/2,1231,OR,.,66
Feb-33,879,OR,.,66
1121,1403,OR,.,66
1003/4,1305,OR,.,66
1001/5,1304,OR,.,66
02/31/44,1427,OR,.,66
00(4)5,1410,OR,.,66
1002,1312,OR,.,66
3340,1135,OR,.,66
21/253,1501,OR,.,66
2/3(3)03,1504,OR,.,66
52/404,1508,OR,.,66
2350,26,OR,.,66.5
2054,1173,CP,.,66.5
0114,10,OR,.,67
2510,19,OR,.,67
0144,52,OR,.,67
1230,87,OR,.,67
2300,111,OR,.,67
1005,124,OR,.,67
0432,132,OR,.,67
0213,74,OR,.,67
1001,141,OR,.,67
0434,146,OR,.,67
0522,157,OR,.,67
0223,33,OR,.,67
0513,162,OR,.,67
1453,1123,CP,.,67
1424,1136,CP,.,67
1521,1138,CP,.,67
2221,1164,CP,.,67
1432,1165,CP,.,67
Feb-02,200,OR,.,67
1/51/300,204,OR,.,67
2/41/200,213,OR,.,67
1411,214,OR,.,67
0342,155,OR,.,67
3003,133,OR,.,67
0513,162,OR,.,67
0015,85,OR,.,67
03/51/54,300,OR,.,67
03/51/34,306,OR,.,67
0335,189,OR,.,67
03/51/42,309,OR,.,67
Jan-04,313,OR,.,67
0340,147,OR,.,67
3314,248,OR,.,67
3554,320,OR,.,67
51/401,240,OR,.,67
0553,108,OR,.,67
0342,155,OR,.,67
0450,244,OR,.,67
3540,301,OR,.,67
0335,189,OR,.,67
51/504,409,OR,.,67
0514,142,OR,.,67
0320,176,OR,.,67
0151,89,OR,.,67
0342,155,OR,.,67
51/401,240,OR,.,67
3450,321,OR,.,67
4111,412,OR,.,67
0331,129,OR,.,67
01/202/3,239,OR,.,67
3314,248,OR,.,67
0230,63,OR,.,67
132/51,173,OR,.,67
0342,155,OR,.,67
4110,1505,CP,.,67
03/51/33,304,OR,.,67
1002,71,OR,.,67
4042,223,OR,.,67
51/504,409,OR,.,67
0351,193,OR,.,67
Jan-11,1635,CP,.,67
53/403,202,OR,.,67
0514,142,OR,.,67
01/333,163,OR,.,67
01/240,230,OR,.,67
03/51/45,325,OR,.,67
0235,95,OR,.,67
0145,16,OR,.,67
001/32,813,OR,.,67
501/33,818,OR,.,67
1021/2,420,OR,.,67
0544,131,OR,.,67
01/333,163,OR,.,67
02/501,707,OR,.,67
Feb-05,904,OR,.,67
1302,510,OR,.,67
2401,250,OR,.,67
01/333,163,OR,.,67
02/322,726,OR,.,67
53/403,202,OR,.,67
02/501,707,OR,.,67
0021/2,532,OR,.,67
3235,846,OR,.,67
002/51,1001,OR,.,67
Jan-21,1013,OR,.,67
0342,155,OR,.,67
02/501,707,OR,.,67
501/33,818,OR,.,67
02/322,726,OR,.,67
53/403,202,OR,.,67
Jan-02,1119,OR,.,67
Feb-20,719,OR,.,67
Feb-15,825,OR,.,67
3(5)423,,OR,.,67
1302,510,OR,.,67
0023/5,1016,OR,.,67
5001/2,1231,OR,.,67
Feb-33,879,OR,.,67
1003/4,1305,OR,.,67
Jan-30,1133,OR,.,67
002/31,528,OR,.,67
1402/3,1200,OR,.,67
4300,322,OR,.,67
0342,155,OR,.,67
0355,.,CP,.,67
002/(5)4,1040,OR,.,67
Feb-33,879,OR,.,67
5204,1425,OR,.,67
10(3)2/4,1306,OR,.,67
1222/3,1411,OR,.,67
1003/4,1305,OR,.,67
0301,25,OR,.,68
0223,33,OR,.,68
0220,75,OR,.,68
0130,88,OR,.,68
0411,101,OR,.,68
0301,25,OR,.,68
5300,94,OR,.,68
FEXTRA,126,OR,.,68
0544,131,OR,.,68
0145,16,OR,.,68
0335,165,OR,.,68
2023,1134,CP,.,68
1314,1135,CP,.,68
1354,1152,CP,.,68
2052,1174,CP,.,68
0552,104,OR,.,68
22/300,206,OR,.,68
2350,26,OR,.,68
3542,215,OR,.,68
0004,222,OR,.,68
3520,224,OR,.,68
0514,142,OR,.,68
0151,89,OR,.,68
5002,156,OR,.,68
0302,182,OR,.,68
0413,159,OR,.,68
1/32/400,237,OR,.,68
51/401,240,OR,.,68
1001,141,OR,.,68
0450,244,OR,.,68
0335,165,OR,.,68
02/3/405,59,OR,.,68
1002,71,OR,.,68
0344,194,OR,.,68
0145,16,OR,.,68
0105,14,OR,.,68
03/51/45,325,OR,.,68
0432,132,OR,.,68
Jan-11,219,OR,.,68
0544,131,OR,.,68
0335,165,OR,.,68
1001,141,OR,.,68
3233,1347,CP,.,68
01/21/52,401,OR,.,68
3554,320,OR,.,68
0145,16,OR,.,68
3314,248,OR,.,68
1001,141,OR,.,68
03/51/42,309,OR,.,68
0335,165,OR,.,68
0003,507,OR,.,68
0344,194,OR,.,68
0551,115,OR,.,68
0544,131,OR,.,68
01/333,163,OR,.,68
 03/505,602,OR,.,68
1021/2,420,OR,.,68
0331,129,OR,.,68
0342,155,OR,.,68
4111,412,OR,.,68
01/401,534,OR,.,68
4300,424,OR,.,68
4044,13,OR,.,68
Jan-05,218,OR,.,68
03/51/32,315,OR,.,68
02/304,614,OR,.,68
0331,129,OR,.,68
03/505,602,OR,.,68
0342,155,OR,.,68
0145,16,OR,.,68
02/305,1705,CP,.,68
03/505,602,OR,.,68
03/51/32,315,OR,.,68
02/304,614,OR,.,68
Jan-05,218,OR,.,68
501/33,818,OR,.,68
Feb-02,822,OR,.,68
Feb-23,934,OR,.,68
3415,1904,CP,.,68
02/321,716,OR,.,68
3235,846,OR,.,68
001/21/3,425,OR,.,68
0544,131,OR,.,68
Feb-11,900,OR,.,68
02/321,716,OR,.,68
Feb-33,879,OR,.,68
0401/2,729,OR,.,68
0011,1000,OR,.,68
1015,1307,OR,.,68
0023/5,1016,OR,.,68
021/41,1213,OR,.,68
1302,510,OR,.,68
000stump,2303,CP,.,68
001/45,1213,OR,.,68
22/332/3,.,OR,.,68
01/501,1409,OR,.,68
0145,16,OR,.,69
0021,49,OR,.,69
5011,64,OR,.,69
0141,67,OR,.,69
2001,76,OR,.,69
1340,1085,CP,.,69
1331,1089,CP,.,69
0530,110,OR,.,69
1411,120,OR,.,69
0545,135,OR,.,69
1003,137,OR,.,69
0412,138,OR,.,69
0220,75,OR,.,69
0141,67,OR,.,69
2410,174,OR,.,69
1402,1115,CP,.,69
1510,1126,CP,.,69
1502,1144,CP,.,69
1341,1167,CP,.,69
333/52,203,OR,.,69
1/21/300,208,OR,.,69
0141,67,OR,.,69
3311,219,OR,.,69
0544,131,OR,.,69
3324,225,OR,.,69
Jan-00,1213,CP,.,69
Jan-10,1243,CP,.,69
0551,115,OR,.,69
0223,33,OR,.,69
2300,111,OR,.,69
4000,336,OR,.,69
Feb-41,340,OR,.,69
333/52,203,OR,.,69
Jan-05,218,OR,.,69
1/21/300,208,OR,.,69
0521,143,OR,.,69
0340,147,OR,.,69
Feb-41,340,OR,.,69
01/21/52,401,OR,.,69
03/51/42,309,OR,.,69
Feb-41,340,OR,.,69
0145,16,OR,.,69
3542,215,OR,.,69
03/51/45,325,OR,.,69
0335,165,OR,.,69
03/51/45,325,OR,.,69
0145,16,OR,.,69
5445,1648,CP,.,69
02/32/30,600,OR,.,69
1021/2,420,OR,.,69
03/51/45,325,OR,.,69
Feb-42,731,OR,.,69
01/401,534,OR,.,69
02/303,1722,CP,.,69
0340,147,OR,.,69
3/41/401,534,OR,.,69
Feb-13,1810,CP,.,69
Feb-00,804,OR,.,69
51/504,409,OR,.,69
Feb-04,918,OR,.,69
2/3/4/5021,1104,OR,.,69
Jan-40,1106,OR,.,69
0342,155,OR,.,69
3235,846,OR,.,69
0011,1000,OR,.,69
Feb-35,1006,OR,.,69
Jan-02,1018,OR,.,69
501/33,818,OR,.,69
02/321,716,OR,.,69
Feb-05,725,OR,.,69
0342,155,OR,.,69
3235,846,OR,.,69
1/501/33,1308,OR,.,69
Feb-35,1019,OR,.,69
Jan-01,1113,OR,.,69
0125,.,CP,.,69
Jan-30,1133,OR,.,69
021/41,1213,OR,.,69
0023/5,1016,OR,.,69
1302,510,OR,.,69
02/31/44,1427,OR,.,69
001/41,1216,OR,.,69
2/3/52/3/552/3,1226,OR,.,69
5204,1417,OR,.,69
Jan-01,2512,CP,.,69
5003,2525,CP,.,69
2310,102,OR,.,69.5
0024,34,OR,.,70
1103,1030,CP,.,70
1224/5,1049,CP,.,70
0354,116,OR,.,70
1143,1139,CP,.,70
1523,1148,CP,.,70
1544,1151,CP,.,70
1420,1162,CP,.,70
1543,1168,CP,.,70
Jan-05,218,OR,.,70
0353,195,OR,.,70
3335,228,OR,.,70
0223,33,OR,.,70
Jan-30,1234,CP,.,70
Jan-01,1236,CP,.,70
0530,110,OR,.,70
Jan-05,218,OR,.,70
03/51/41,323,OR,.,70
5300,94,OR,.,70
0220,75,OR,.,70
3542,215,OR,.,70
333/52,203,OR,.,70
0025,6,OR,.,70
0220,75,OR,.,70
011/41,1415,CP,.,70
011/40,1420,CP,.,70
4414,1451,CP,.,70
1002,71,OR,.,70
0340,147,OR,.,70
333/52,203,OR,.,70
0025,6,OR,.,70
03/51/51,307,OR,.,70
2352,1524,CP,.,70
3351,1533,CP,.,70
03/51/42,309,OR,.,70
0025,6,OR,.,70
1/21/300,208,OR,.,70
Feb-41,340,OR,.,70
3542,215,OR,.,70
Jan-45,1613,CP,.,70
4110,1505,CP,.,70
03/51/42,309,OR,.,70
0340,147,OR,.,70
02/313,1729,CP,.,70
Jan-11,1635,CP,.,70
Feb-00,804,OR,.,70
3315,1804,CP,.,70
03/505,602,OR,.,70
001/32,813,OR,.,70
0340,147,OR,.,70
Feb-03,1820,CP,.,70
1021/2,420,OR,.,70
01/340,1030,OR,.,70
001/32,813,OR,.,70
3554,1103,OR,.,70
01/401,2112,CP,.,70
001/43,1212,OR,.,70
02/321,716,OR,.,70
312/54,1315,OR,.,70
0002/5,2308,CP,.,70
51/500,2319,CP,.,70
01/520,2329,CP,.,70
031/42,1429,OR,.,70
501/33,818,OR,.,70
Jan-01,1113,OR,.,70
Feb-35,1019,OR,.,70
3235,846,OR,.,70
Jan-02,1018,OR,.,70
3340,1135,OR,.,70
1002,1312,OR,.,70
1001/5,134,OR,.,70
1252,1093,CP,.,71
4300,151,OR,.,71
1405,1108,CP,.,71
1452,1109,CP,.,71
21stump3,1143,CP,.,71
1515,1156,CP,.,71
1550,1158,CP,.,71
0523,103,OR,.,71
0530,110,OR,.,71
1411,120,OR,.,71
0220,75,OR,.,71
4512,233,OR,.,71
1401,1202,CP,.,71
1521,1138,CP,.,71
0021,1239,CP,.,71
Jan-34,1240,CP,.,71
03/51/51,307,OR,.,71
0025,6,OR,.,71
1411,120,OR,.,71
Jan-30,1337,CP,.,71
551/24,1350,CP,.,71
0105,14,OR,.,71
1411,120,OR,.,71
0220,75,OR,.,71
1411,120,OR,.,71
41/251,1529,CP,.,71
101/21,1607,CP,.,71
402/50,1618,CP,.,71
Jan-12,1629,CP,.,71
4442,1645,CP,.,71
3542,215,OR,.,71
5200,1516,CP,.,71
0021/4,1723,CP,.,71
5445,1648,CP,.,71
02/515,1725,CP,.,71
02/303,1722,CP,.,71
5200,1516,CP,.,71
02/305,1705,CP,.,71
12/431,1829,CP,.,71
1021/2,420,OR,.,71
02/304,614,OR,.,71
Feb-01,1047,OR,.,71
03/505,602,OR,.,71
01/404,2116,CP,.,71
2/32/354,884,OR,.,71
0340,147,OR,.,71
001/50,2306,CP,.,71
Feb-01,2317,CP,.,71
0134,15,OR,.,72
0110,21,OR,.,72
1200,1006,CP,.,72
.,.,CP,.,72
1251,1082,CP,.,72
1345,1114,CP,.,72
1441,1118,CP,.,72
1411,1119,CP,.,72
1323,1124,CP,.,72
1504,1127,CP,.,72
1555,1169,CP,.,72
2001,1170,CP,.,72
Jan-23,1218,CP,.,72
0153,1226,CP,.,72
Jan-12,1241,CP,.,72
Jan-25,1332,CP,.,72
1221,1342,CP,.,72
3504,403,OR,.,72
4300,151,OR,.,72
01/204,1602,CP,.,72
Jan-05,1614,CP,.,72
02/311,1700,CP,.,72
Jan-23,1704,CP,.,72
0041/4,1713,CP,.,72
Jan-41,1814,CP,.,72
Feb-12,1800,CP,.,72
Feb-13,1857,CP,.,72
Feb-03,1820,CP,.,72
01/340,1030,OR,.,72
01/205,2201,CP,.,72
4435,2208,CP,.,72
5315,2211,CP,.,72
02/304,614,OR,.,72
01/510,2334,CP,.,72
0400,1408,OR,.,72
Jan-43,1412,OR,.,72
0145,2403,CP,.,72
0422,2420,CP,.,72
001/20,2421,CP,.,72
0423,2425,CP,.,72
1121,1403,OR,.,72
5003,2525,CP,.,72
0221,32,OR,.,72.5
0221,32,OR,.,73
1145,1024,CP,.,73
1332,1038,CP,.,73
1300,1057,CP,.,73
1135,1062,CP,.,73
1253,1070,CP,.,73
1324,1076,CP,.,73
0134,15,OR,.,73
2030,1102,CP,.,73
1410,1103,CP,.,73
1520,1107,CP,.,73
1224/5,1049,CP,.,73
1522,1122,CP,.,73
1331,1089,CP,.,73
1353,1140,CP,.,73
1135,1062,CP,.,73
1555,1153,CP,.,73
2051,1175,CP,.,73
4300,151,OR,.,73
1405,1108,CP,.,73
Jan-40,1235,CP,.,73
Jan-20,1237,CP,.,73
1432,1165,CP,.,73
1401,1202,CP,.,73
0033,1338,CP,.,73
Jan-21,1351,CP,.,73
0021,1239,CP,.,73
001/24,1414,CP,.,73
551/24,1350,CP,.,73
3504,403,OR,.,73
2055,1117,CP,.,73
0021,1239,CP,.,73
002/42/4,1530,CP,.,73
3504,403,OR,.,73
12/431/4,1701,CP,.,73
1/211/50,1711,CP,.,73
0031/4,1712,CP,.,73
02/314,1718,CP,.,73
02/311,1700,CP,.,73
4442,1645,CP,.,73
0041/4,1713,CP,.,73
Feb-13,1810,CP,.,73
Feb-13,1857,CP,.,73
02/304,614,OR,.,73
01/403,2115,CP,.,73
02/304,614,OR,.,73
01/202,2205,CP,.,73
5001/4,2222,CP,.,73
02/321,716,OR,.,73
2415,2335,CP,.,73
0420,2412,CP,.,73
01/520,2329,CP,.,73
Jan-43,1412,OR,.,73
1120,1022,CP,.,74
1130,1033,CP,.,74
114/55,1045,CP,.,74
1221,1048,CP,.,74
1310,1054,CP,.,74
1131,1094,CP,.,74
1123,1060,CP,.,74
1330,1077,CP,.,74
1250,1086,CP,.,74
2055,1117,CP,.,74
1511,1120,CP,.,74
2214,1128,CP,.,74
1330,1077,CP,.,74
2115,1133,CP,.,74
1252,1093,CP,.,74
0000(river),1172,CP,.,74
0111,1204,CP,.,74
1/51/300,1208,CP,.,74
1/401/30,1211,CP,.,74
1224/5,1049,CP,.,74
Jan-01,1216,CP,.,74
1401/3,1224,CP,.,74
0012,1225,CP,.,74
1/401/20,1229,CP,.,74
0103,1232,CP,.,74
0125,1238,CP,.,74
1510,1126,CP,.,74
Jan-03,1305,CP,.,74
1224,1309,CP,.,74
Jan-11,1312,CP,.,74
Jan-14,1318,CP,.,74
Jan-13,1325,CP,.,74
Jan-23,1326,CP,.,74
Jan-22,1335,CP,.,74
Jan-20,1336,CP,.,74
Jan-30,1234,CP,.,74
3233,1347,CP,.,74
011/42,1423,CP,.,74
1515,1156,CP,.,74
01/201/3,1604,CP,.,74
121/24/5,1619,CP,.,74
.,.,CP,.,74
101/21,1634,CP,.,74
2352,1524,CP,.,74
3255,1805,CP,.,74
101/21,1607,CP,.,74
0051/4,1721,CP,.,74
0021/4,1723,CP,.,74
5200,1516,CP,.,74
02/501,2016,CP,.,74
5200,1516,CP,.,74
Feb-13,1810,CP,.,74
01/201,2202,CP,.,74
01/401,2112,CP,.,74
43/552,2225,CP,.,74
4031,2419,OR,.,74
001/50,2306,CP,.,74
01/510,2334,CP,.,74
2501,2415,CP,.,74
1542,1157,CP,.,74.5
1322,1029,CP,.,75
1234,1035,CP,.,75
1121/2,1061,CP,.,75
1235,1068,CP,.,75
1451,1112,CP,.,75
1200,1006,CP,.,75
1355,1121,CP,.,75
1120,1022,CP,.,75
2215,1131,CP,.,75
1552,1161,CP,.,75
1221,1048,CP,.,75
1520,1107,CP,.,75
1/5001/2,1346,CP,.,75
1410,1103,CP,.,75
1342,1217,CP,.,75
Jan-25,1221,CP,.,75
1200,1006,CP,.,75
1/51/500,1231,CP,.,75
1341,1167,CP,.,75
1502,1144,CP,.,75
1511,1120,CP,.,75
1/51/300,1208,CP,.,75
21STUMP3,1143,CP,.,75
1/401/30,1211,CP,.,75
1401,1202,CP,.,75
1/51/300,1208,CP,.,75
Jan-03,1305,CP,.,75
Jan-21,1351,CP,.,75
Jan-30,1337,CP,.,75
0033,1338,CP,.,75
21stump3,1143,CP,.,75
551/24,1350,CP,.,75
21stump3,1143,CP,.,75
0013/4,1608,CP,.,75
Jan-45,1613,CP,.,75
4110,1505,CP,.,75
101/21,1634,CP,.,75
Jan-41,1814,CP,.,75
002/32,1902,CP,.,75
Feb-12,1800,CP,.,75
01/500,2001,CP,.,75
Feb-12,1800,CP,.,75
01/500,2104,CP,.,75
Feb-13,1857,CP,.,75
Feb-13,1810,CP,.,75
501/20,2221,CP,.,75
01/404,2116,CP,.,75
01/205,2201,CP,.,75
0003,2309,CP,.,75
01/401,2112,CP,.,75
02/321,716,OR,.,75
Jan-04,2517,CP,.,75
1/5001/2,1346,CP,.,75.5
1214,1007,CP,.,76
1313,1013,CP,.,76
1125,1020,CP,.,76
1202,1025,CP,.,76
