FCODE$,FEMID$,SITE$,Age,FSVLAFTER
,,CP,0.01,28.89
,,OR,0.01,28.9
,,OR,0.01,28.9
,,OR,0.01,28.9
,,OR,0.01,28.9
,,CP,0.01,28.9
,,CP,0.01,28.9
,,OR,0.01,28.91
,,OR,0.01,28.91
,,CP,0.01,28.91
,,CP,0.01,28.91
,,CP,0.01,28.91
,,OR,0.01,28.92
,,OR,0.01,28.92
,,OR,0.01,28.92
,,CP,0.01,28.92
,,CP,0.01,28.92
,,CP,0.01,28.92
,,CP,0.01,28.92
,,CP,0.01,28.92
,,OR,0.01,28.93
,,OR,0.01,28.93
,,OR,0.01,28.93
,,OR,0.01,28.93
,,OR,0.01,28.93
,,CP,0.01,28.93
,,CP,0.01,28.93
,,CP,0.01,28.93
,,CP,0.01,28.93
,,CP,0.01,28.93
,,CP,0.01,28.93
,,CP,0.01,28.93
,,CP,0.01,28.93
,,OR,0.01,28.94
,,OR,0.01,28.94
,,OR,0.01,28.94
,,OR,0.01,28.94
,,OR,0.01,28.94
,,CP,0.01,28.94
,,CP,0.01,28.94
,,CP,0.01,28.94
,,CP,0.01,28.94
,,OR,0.01,28.95
,,OR,0.01,28.95
,,OR,0.01,28.95
,,OR,0.01,28.95
,,OR,0.01,28.95
,,OR,0.01,28.95
,,OR,0.01,28.95
,,OR,0.01,28.95
,,OR,0.01,28.95
,,CP,0.01,28.95
,,CP,0.01,28.95
,,CP,0.01,28.95
,,CP,0.01,28.95
,,OR,0.01,28.96
,,OR,0.01,28.96
,,OR,0.01,28.96
,,OR,0.01,28.96
,,CP,0.01,28.96
,,OR,0.01,28.97
,,OR,0.01,28.97
,,OR,0.01,28.97
,,OR,0.01,28.97
,,OR,0.01,28.97
,,OR,0.01,28.97
,,OR,0.01,28.97
,,OR,0.01,28.97
,,OR,0.01,28.97
,,CP,0.01,28.97
,,CP,0.01,28.97
,,CP,0.01,28.97
,,OR,0.01,28.98
,,OR,0.01,28.98
,,OR,0.01,28.98
,,OR,0.01,28.98
,,OR,0.01,28.98
,,OR,0.01,28.98
,,OR,0.01,28.98
,,CP,0.01,28.98
,,CP,0.01,28.98
,,CP,0.01,28.98
,,CP,0.01,28.98
,,OR,0.01,28.99
,,OR,0.01,28.99
,,OR,0.01,28.99
,,OR,0.01,28.99
,,OR,0.01,28.99
,,OR,0.01,28.99
,,OR,0.01,28.99
,,CP,0.01,28.99
,,CP,0.01,28.99
,,CP,0.01,28.99
,,CP,0.01,28.99
,,OR,0.01,29
,,OR,0.01,29
,,OR,0.01,29
,,OR,0.01,29
,,OR,0.01,29
,,OR,0.01,29
,,OR,0.01,29
,,OR,0.01,29
,,OR,0.01,29
,,OR,0.01,29
,,CP,0.01,29
,,CP,0.01,29
,,CP,0.01,29
,,CP,0.01,29
,,OR,0.01,29.01
,,OR,0.01,29.01
,,OR,0.01,29.01
,,OR,0.01,29.01
,,OR,0.01,29.01
